device_id,mpn,role,scope,quantity_per_device,unit_price_quantity_100_usd,effective_unit_price_usd,line_burden_per_device_usd,share_of_planning_base_pct,cumulative_planning_base_pct,line_burden_basis,quantity_procurement_target,planning_procurement_line_usd,quantity_ten_devices,planning_ten_devices_line_usd,quantity_historical_capture,historical_capture_displayed_line_usd,historical_capture_route,jlcpcb_part,quantity_100_batch_line_usd,cost_gate
gct_rfpc_sma31_fn_175_a,GCT RFPC-SMA31-FN-175-A,eight standard outward SMA / восемь внешних SMA,base_product,8,2.46456,2.46456,19.71648,6.332,6.332,quantity-100,8,19.71648,80,197.1648,40,,not_matched,,1971.6480000000001,
eastrising_er_tft035ips_6_ctp,EastRising ER-TFT035IPS-6 + ER-TPC035-6,display,base_product,1,14.91,14.91,14.91,4.788,11.12,quantity-100,1,14.91,10,149.1,5,74.55,owner_post_pcba_final_assembly,,1491.0,
adi_ad8314armz_reel,Analog Devices AD8314ARMZ-REEL,six real-TX RF detectors / шесть RF-детекторов фактической передачи,base_product,6,1.9398,1.9398,11.6388,3.738,14.858,quantity-100,6,11.6388,60,116.388,30,17.8956,explicit overseas-stock/pre-order route; six required pieces satisfy MOQ 4,C652687,1163.8799999999999,
coilcraft_wbc16_1tlc,WBC16-1TLC,official DC1027A 1:16 mixer-output transformer,base_product,1,10.2728,10.2728,10.2728,3.299,18.157,quantity-100,1,10.2728,10,102.72800000000001,5,,not matched,,1027.28,
omron_b3s_1100p,OMRON B3S-1100P,sixteen ordinary user keys / шестнадцать обычных клавиш,base_product,16,0.6405,0.6405,10.248,3.291,21.448,quantity-100,16,10.248,160,102.47999999999999,80,74.58,pre-order,C2733652,1024.8,
samtec_ftsh_105_01_l_dv_k_p_tr,Samtec FTSH-105-01-L-DV-K-P-TR,four internal recovery headers / четыре внутренних recovery-разъёма,base_product,6,1.6991,1.6991000000000003,10.194600000000001,3.274,24.722,quantity-100,6,10.194600000000001,60,101.94600000000001,30,28.2,in stock; four fitted per R2 device and no pre-order is required for the exact-one prototype,C2932107,1019.4600000000002,
nicerf_sa818s_v_v18,G-NiceRF SA818S-V,VHF voice transceiver / VHF голосовой трансивер,base_product,1,,10.071,10.071,3.234,27.956,provisional reachable route,1,10.071,10,100.71,5,50.355,pre_order,C51897911,1007.1,quantity_100_rfq_required
nicerf_sa818s_u_v18,G-NiceRF SA818S-U,UHF voice transceiver / UHF голосовой трансивер,base_product,1,,9.7347,9.7347,3.126,31.083,provisional reachable route,1,9.7347,10,97.34700000000001,5,48.673500000000004,in_stock,C3001549,973.47,quantity_100_rfq_required
ebyte_e01_ml01sp4,Ebyte E01-ML01SP4,three 20-dBm PA/LNA full-function nRF24 radios / три полнофункциональных nRF24 с PA/LNA 20 dBm,base_product,3,2.9633,2.9633,8.889899999999999,2.855,33.938,quantity-100,3,8.889899999999999,30,88.89899999999999,15,57.972,in stock; exact original-manufacturer PA/LNA module is factory placeable,C97340,888.9899999999999,
keystone_1048p,Keystone Electronics 1048P,dual protected-18650 holder / держатель двух защищённых 18650,base_product,1,8.57,8.57,8.57,2.752,36.69,quantity-100,1,8.57,10,85.7,5,33.66,pre-order,C6038062,857.0,
