rank,source,mpn,role,quantity_per_prototype,effective_unit_price_usd,group_cost_per_prototype_usd,share_of_known_combined_total_pct
1,external_antenna,SMA-W100RX2,receive-only telescopic whip; AIR,1,35.95,35.95,7.994
2,external_antenna,001-0012,"2.4/5 GHz native radio; S3, C5",2,16.91,33.82,7.521
3,external_antenna,AN0155H13,VHF 136-174 MHz; VHF,1,31.7,31.7,7.049
4,external_antenna,ANT-433-CW-QW-SMA,"433 MHz / UHF 400-470 MHz; S433, UHF",2,11.23,22.46,4.994
5,base_bom,GCT RFPC-SMA31-FN-175-A,eight standard outward SMA / восемь внешних SMA,8,2.46456,19.71648,4.384
6,base_bom,EastRising ER-TFT035IPS-6 + ER-TPC035-6,display,1,14.91,14.91,3.316
7,base_bom,Analog Devices AD8314ARMZ-REEL,six real-TX RF detectors / шесть RF-детекторов фактической передачи,6,1.9398,11.6388,2.588
8,base_bom,WBC16-1TLC,official DC1027A 1:16 mixer-output transformer,1,10.2728,10.2728,2.284
9,base_bom,OMRON B3S-1100P,sixteen ordinary user keys / шестнадцать обычных клавиш,16,0.6405,10.248,2.279
10,base_bom,Samtec FTSH-105-01-L-DV-K-P-TR,four internal recovery headers / четыре внутренних recovery-разъёма,6,1.6991000000000003,10.194600000000001,2.267
11,base_bom,G-NiceRF SA818S-V,VHF voice transceiver / VHF голосовой трансивер,1,10.071,10.071,2.239
12,base_bom,G-NiceRF SA818S-U,UHF voice transceiver / UHF голосовой трансивер,1,9.7347,9.7347,2.165
13,external_antenna,ANT-315-CW-HW-SMA,315 MHz; S315,1,9.6,9.6,2.135
14,base_bom,Ebyte E01-ML01SP4,three 20-dBm PA/LNA full-function nRF24 radios / три полнофункциональных nRF24 с PA/LNA 20 dBm,3,2.9633,8.889899999999999,1.977
15,base_bom,Keystone Electronics 1048P,dual protected-18650 holder / держатель двух защищённых 18650,1,8.57,8.57,1.906
16,base_bom,Texas Instruments TMUX1136DGSR,four complete audio/control selectors / четыре полных audio/control selector,4,2.0581,8.2324,1.831
17,base_bom,LTC5532ES6#TRMPBF,"S3/C5 2.4/5-GHz TX detectors / детекторы TX S3/C5 2,4/5 ГГц",2,3.8877,7.7754,1.729
18,base_bom,LT5560EDD#TRPBF,official-reference active down-converting mixer,1,6.9028,6.9028,1.535
19,base_bom,TE Connectivity 1-2118651-0,three 60-mm nRF RF jumpers / три 60-мм RF-кабеля nRF,3,1.8099999999999998,5.43,1.207
20,base_bom,Murata GRM32ER71E226KE15L,thirteen 22-uF power capacitors / тринадцать силовых конденсаторов 22 мкФ,16,0.3303,5.2848,1.175
